name,short_name,type,street,house_number,postcode,town,lat,lon,name_de,name_fr,name_it,ror_id,wikidata_id,coara_signatory,dora_signatory,coara_member,grid_id,isni_id,crossref_funder_id,geonames_id,swissuniversities_id,swissuniversities_name,openalex_primary_id,openalex_ids,openorgs_ids
HES-SO University of Applied Sciences and Arts Western Switzerland,HES-SO,UAS,Route de Moutier,14.0,2800.0,Delémont,47.3653,7.3575,Fachhochschule Westschweiz,Haute École Spécialisée de Suisse Occidentale,Scuola universitaria professionale della Svizzera occidentale,https://ror.org/01xkakk17,Q168003,Yes,Yes,Yes,grid.5681.a,0000 0001 0943 1999,,2661035.0,HESSO,Haute école spécialisée de Suisse occidentale HES-SO,I173439891,I173439891|I4210088449|I4210109379|I4210119508|I4210129267|I4210160903,openorgs____::5dca7501247bb1638a6d4a41a493e3b3
Kalaidos University of Applied Sciences,Kalaidos,UAS,Jungholzstrasse,43.0,8050.0,Zurich,47.4116,8.5447,Kalaidos Fachhochschule,Kalaidos Haute école spécialisée,Kalaidos Scuola universitaria professionale,https://ror.org/049c2kr37,Q681372,No,No,No,grid.449532.d,0000 0004 0453 9054,,2657896.0,KAFH,Kalaidos Fachhochschule,I3132934759,I3132934759,openorgs____::eb3d3aaf002a81213a0c57f0f06465ae
Lucerne University of Applied Sciences and Arts,HSLU,UAS,Werftestrasse,4.0,6002.0,Lucerne,47.0468,8.3106,Hochschule Luzern,Haute École de Lucerne,Scuola universitaria professionale di Lucerna,https://ror.org/04nd0xd48,Q664028,Yes,Yes,Yes,grid.425064.1,0000 0001 2191 8943,501100018744.0,2659811.0,HSLU,Hochschule Luzern HSLU,I81007117,I81007117,openorgs____::30efc8424eaadd1bff384ddfb3f0b455
OST - Eastern Switzerland University of Applied Sciences,OST,UAS,Oberseestrasse,10.0,8640.0,Rapperswil,47.2233,8.8174,Ostschweizer Fachhochschule OST,Haute école spécialisée de la Suisse orientale,Scuola universitaria professionale della Svizzera orientale,https://ror.org/038mj2660,Q106411923,No,No,No,grid.510272.3,,,2659099.0,OST,OST - Ostschweizer Fachhochschule,I4210129390,I4210127453|I4210129390|I4210143180|I4210145378,openorgs____::5e1ff4b25339b85b35dccf232595c841
University of Applied Sciences Northwestern Switzerland,FHNW,UAS,Bahnhofstrasse,6.0,5210.0,Windisch,47.4812,8.2127,Fachhochschule Nordwestschweiz,Haute école spécialisée du Nord-Ouest de la Suisse,Scuola universitaria professionale della Svizzera nord-occidentale,https://ror.org/04mq2g308,Q693069,Yes,Yes,Yes,grid.410380.e,0000 0001 1497 8091,,2657976.0,FHNW,Fachhochschule Nordwestschweiz FHNW,I2972652528,I2801068065|I2972652528,openorgs____::1735942e6655b539a1b62a4c547aa12e
University of Applied Sciences and Arts of Southern Switzerland,SUPSI,UAS,Le Gerre,,6928.0,Bioggio,46.024,8.9177,Fachhochschule der italienischen Schweiz,Haute école spécialisée de la Suisse italienne,Scuola Universitaria Professionale della Svizzera Italiana,https://ror.org/05ep8g269,Q663984,No,No,No,grid.16058.3a,0000 0001 2325 2233,,2661498.0,SUPSI,Scuola universitaria professionale della Svizzera italiana SUPSI,I15196421,I15196421|I2614128279|I4210116528,openorgs____::9530fcdb9351fb8cc163e51c47850c00
University of Applied Sciences of the Grisons,FHGR,UAS,Pulvermühlestrasse,57.0,7000.0,Chur,46.8533,9.5133,Hochschule für Technik und Wirtschaft Chur,Haute école spécialisée des Grisons,Scuola universitaria professionale dei Grigioni,https://ror.org/032ymzc07,Q1622220,No,No,No,grid.460104.7,0000 0000 8718 2812,,2661169.0,FHGR,Fachhochschule Graubünden FHGR,I4210120439,I4210120439,openorgs____::bee26c2cc0fbc39557b91e214b7f68d7
Zurich University of Applied Sciences,ZHAW,UAS,Gertrudstrasse,15.0,8400.0,Winterthur,47.5005,8.7247,ZHAW Zürcher Hochschule für Angewandte Wissenschaften,ZHAW Haute école des sciences appliquées de Zurich,ZHAW Università di scienze applicate di Zurigo,https://ror.org/05pmsvm27,Q2605554,Yes,Yes,Yes,grid.19739.35,0000 0001 2229 1644,501100022500.0,2657970.0,ZHAW,Zürcher Hochschule für angewandte Wissenschaften ZHAW,I858936495,I858936495,openorgs____::252c26de35253a4361413eff57fbaf6f
Zurich University of the Arts,ZHdK,UAS,Pfingstweidstrasse,96.0,8005.0,Zurich,47.3923,8.5118,Zürcher Hochschule der Künste,Haute École d'Art de Zurich,Alta Scuola d'Arte di Zurigo,https://ror.org/05r0ap620,Q222450,Yes,No,Yes,grid.449912.3,0000 0001 2187 6018,,2657896.0,ZHDK,Zürcher Hochschule der Künste ZHdk,I64152125,I64152125,openorgs____::b0f7cfe6dc2f277909c957393696da8b
Haute école pédagogique - BEJUNE,HEP-BEJUNE,UTE,Chemin de la Ciblerie,45.0,2503.0,Porrentruy,47.1364,7.2467,Pädagogische Hochschule BEJUNE,Haute École Pédagogique BEJUNE,Alta scuola pedagogica BEJUNE,https://ror.org/015pmkr43,Q1591389,No,No,No,grid.469449.2,0000 0001 0658 3479,,2659171.0,HEPBEJUNE,"Haute école pédagogique des cantons de Berne, du Jura et de Neuchâtel HEP-BEJUNE",I4210101117,I4210101117,
