name,short_name,type,town,swissuniversities_name,openalex_ids,openorgs_ids,tobi_findable_dim,tobi_findable_scopus,tobi_findable_wos,tobi_findable_openaire,tobi_findable_openalex,tobi_total_outputs_dim_2012_2022,tobi_total_outputs_scopus_2012_2022,tobi_total_outputs_wos_2012_2022,tobi_total_outputs_openaire_2012_2022,tobi_total_outputs_openalex_2012_2022,tobi_retrieval_date_dim,tobi_retrieval_date_scopus,tobi_retrieval_date_wos,tobi_retrieval_date_openaire,tobi_retrieval_date_openalex
University of Teacher Education Bern,PHBern,UTE,Bern,Pädagogische Hochschule Bern PH Bern,I4210160491,openorgs____::0000044391,Yes,Yes,No,Yes,Yes,217.0,26.0,,65.0,535.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Teacher Education Graubünden,PHGR,UTE,Chur,Pädagogische Hochschule Graubünden | Alta scuola pedagogica dei Grigioni | Scola auta da pedagogia dal Grischun PHGR,I4210117930,openorgs____::0000059258,Yes,No,No,No,Yes,16.0,,,,37.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Teacher Education Lucerne,PH Luzern,UTE,Lucerne,Pädagogische Hochschule Luzern PH Luzern,I4210112078,openorgs____::0000055803,Yes,No,No,Yes,Yes,194.0,,,56.0,594.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Teacher Education Schaffhausen,PHSH,UTE,Schaffhausen,Pädagogische Hochschule Schaffhausen PHSH,I4210139224,openorgs____::0000055972,Yes,No,No,Yes,Yes,7.0,,,3.0,6.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Teacher Education Schwyz,PHSZ,UTE,Goldau,Pädagogische Hochschule Schwyz PHSZ,I4210095907,openorgs____::0000056007,Yes,No,No,Yes,Yes,121.0,,,3.0,178.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Teacher Education Valais,HEP-VS,UTE,Brig,Haute école pédagogique du Valais | Pädagogische Hochschule Wallis HEP-VS | PH-VS,I4210141884,openorgs____::0000056054,Yes,No,No,No,Yes,29.0,,,,54.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Teacher Education Vaud,HEP Vaud,UTE,Lausanne,Haute école pédagogique du canton de Vaud HEP Vaud,I4210106586,openorgs____::0000056062,Yes,No,No,Yes,Yes,117.0,,,53.0,558.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Teacher Education Zug,PH Zug,UTE,Zug,Pädagogische Hochschule Zug PH Zug,I4210146564,openorgs____::0000056109,Yes,No,No,Yes,Yes,88.0,,,117.0,206.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Teacher Education Zurich,PH Zurich,UTE,Zurich,Pädagogische Hochschule Zürich PH Zürich,I4210111868,openorgs____::0000072626,Yes,No,No,Yes,Yes,376.0,,,152.0,822.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
University of Teacher Education in Special Needs,HfH,UTE,Zurich,Interkantonale Hochschule für Heilpädagogik Zürich HfH,I4210086400,openorgs____::0000056114,Yes,No,No,Yes,Yes,72.0,,,34.0,265.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Distance Learning University Switzerland,FernUni,Univ. Inst.,Brig,"Stiftung Universitäre Fernstudien Schweiz, Brig",I4210139595,openorgs____::1ee37347adef16924686f4e7c015741c,Yes,No,No,No,Yes,2.0,,,,4.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Franklin University Institute Switzerland,FUS,Univ. Inst.,Sorengo,Franklin University Institute Switzerland,I903955410,,,,,,,,,,,,,,,,
Graduate Institute of International and Development Studies,IHEID,Univ. Inst.,Geneva,"Institut de hautes études internationales et du développement, Genève, IHEID",I951315,openorgs____::0000015739,Yes,Yes,No,Yes,Yes,1286.0,1129.0,,1506.0,2380.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Hochschulinstitut Schaffhausen,HSSH,Univ. Inst.,Schaffhausen,Hochschulinstitut Schaffhausen HSSH,I4399598448,openorgs____::abaf4ad58425ff3a7c3938b6479efc17,No,No,No,No,No,,,,,,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
International Institute for Management Development,IMD,Univ. Inst.,Lausanne,IMD - International Institute for Management Development,I130154697,openorgs____::0000052317,Yes,Yes,Yes,Yes,Yes,272.0,354.0,434.0,108.0,527.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Schweizerisches Universitäres Institut für Traditionelle Chinesische Medizin,TCM UNI,Univ. Inst.,Bad Zurzach,Schweizerisches universitäres Institut für traditionelle chinesische Medizin SWISS TCM UNI,I4399598368,openorgs____::51e8a672e8dd17dbfc6eff42b2ebed5a,No,No,No,No,No,,,,,,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Staatsunabhängige Theologische Hochschule Basel,STH Basel,Univ. Inst.,Riehen,Universitäre Theologische Hochschule Basel STH Basel,I4210116588,openorgs____::0000059267,Yes,No,No,Yes,Yes,12.0,,,3.0,17.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Theologische Hochschule Chur,THC,Univ. Inst.,Chur,Theologische Hochschule Chur,I4210136385,openorgs____::0000073244,Yes,No,No,Yes,Yes,4.0,,,3.0,20.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
César Ritz Colleges Switzerland,CRCS,UAS Inst.,Le Bouveret,César Ritz Colleges Switzerland,,,,,,,,,,,,,,,,,
Glion Institute of Higher Education,GIHE,UAS Inst.,Glion-sur-Montreux,Glion Institute of Higher Education,I2802806793,,,,,,,,,,,,,,,,
HWZ University of Applied Sciences in Business Administration,HWZ,UAS Inst.,Zurich,Hochschule für Wirtschaft Zürich HWZ,I197141962,openorgs____::0000040059,Yes,No,No,Yes,Yes,30.0,,,35.0,2028.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Les Roches Global Hospitality Education,LRGHE,UAS Inst.,Bluche,Les Roches Global Hospitality Education,,,,,,,,,,,,,,,,,
SBS Swiss Business School,SBS,UAS Inst.,Kloten,Swiss Business School SBS,I4399598389,openorgs____::0de33f5fa55f31cb73fb43e84ba2616a,No,Yes,Yes,No,No,,57.0,28.0,,,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Swiss Federal Institute of Sport Magglingen SFISM,SFISM,UAS Inst.,Magglingen,Swiss Federal Institute of Sport Magglingen SFISM,I4210097597,openorgs____::0000072893,Yes,Yes,No,Yes,Yes,139.0,225.0,,145.0,291.0,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
Swiss UMEF,SUMEF,UAS Inst.,Aïre,Swiss UMEF,I4399657977,openorgs____::73bfaf94abdefe88a3374cf0983b935e,No,No,No,No,No,,,,,,2024-01-19,2023-11-06,2023-12-13,2024-07-30,2024-07-30
