name,short_name,type,street,house_number,postcode,town,lat,lon,name_de,name_fr,name_it,ror_id,wikidata_id,coara_signatory,dora_signatory,coara_member,grid_id,isni_id,crossref_funder_id,geonames_id
HES-SO University of Applied Sciences and Arts Western Switzerland,HES-SO,UAS,Route de Moutier,14,2800,Delémont,47.3653,7.3575,Fachhochschule Westschweiz,Haute École Spécialisée de Suisse Occidentale,Scuola universitaria professionale della Svizzera occidentale,https://ror.org/01xkakk17,Q168003,Yes,Yes,Yes,grid.5681.a,0000 0001 0943 1999,,2661035
Lucerne University of Applied Sciences and Arts,HSLU,UAS,Werftestrasse,4,6002,Lucerne,47.0468,8.3106,Hochschule Luzern,Haute École de Lucerne,Scuola universitaria professionale di Lucerna,https://ror.org/04nd0xd48,Q664028,Yes,Yes,Yes,grid.425064.1,0000 0001 2191 8943,501100018744,2659811
Kalaidos University of Applied Sciences,Kalaidos,UAS,Jungholzstrasse,43,8050,Zurich,47.4116,8.5447,Kalaidos Fachhochschule,Kalaidos Haute école spécialisée,Kalaidos Scuola universitaria professionale,https://ror.org/049c2kr37,Q681372,No,No,No,grid.449532.d,0000 0004 0453 9054,,2657896
OST - Eastern Switzerland University of Applied Sciences,OST,UAS,Oberseestrasse,10,8640,Rapperswil,47.2233,8.8174,Ostschweizer Fachhochschule OST,Haute école spécialisée de la Suisse orientale,Scuola universitaria professionale della Svizzera orientale,https://ror.org/038mj2660,,No,No,No,grid.510272.3,,,2659099
University of Applied Sciences and Arts of Southern Switzerland,SUPSI,UAS,Le Gerre,,6928,Bioggio,46.0240,8.9177,Fachhochschule der italienischen Schweiz,Haute école spécialisée de la Suisse italienne,Scuola Universitaria Professionale della Svizzera Italiana,https://ror.org/05ep8g269,Q663984,No,No,No,grid.16058.3a,0000 0001 2325 2233,,2661498
Zurich University of the Arts,ZHdK,UAS,Pfingstweidstrasse,96,8005,Zurich,47.3923,8.5118,Zürcher Hochschule der Künste,Haute École d'Art de Zurich,Alta Scuola d'Arte di Zurigo,https://ror.org/05r0ap620,Q222450,Yes,No,Yes,grid.449912.3,0000 0001 2187 6018,,2657896
Zurich University of Applied Sciences,ZHAW,UAS,Gertrudstrasse,15,8400,Winterthur,47.5005,8.7247,ZHAW Zürcher Hochschule für Angewandte Wissenschaften,ZHAW Haute école des sciences appliquées de Zurich,ZHAW Università di scienze applicate di Zurigo,https://ror.org/05pmsvm27,Q2605554,Yes,Yes,Yes,grid.19739.35,0000 0001 2229 1644,501100022500,2657970
HWZ University of Applied Sciences in Business Administration,HWZ,UAS,Lagerstrasse,5,8021,Zurich,47.3783,8.5327,Hochschule für Wirtschaft Zürich,Haute école de gestion de Zurich,Scuola universitaria di economia di Zurigo,https://ror.org/02ejkey04,Q1488771,No,No,No,grid.449909.9,0000 0001 0008 3713,,2657896
Swiss Federal University for Vocational Education and Training,SFUVET,UTE,Kirchlindachstrasse,79,3052,Zollikofen,46.9953,7.4566,Eidgenössische Hochschule für Berufsbildung EHB,Haute école fédérale en formation professionnelle HEFP,Scuola universitaria federale per la formazione professionale SUFFP,https://ror.org/00zg4za48,Q1302632,No,No,No,grid.466173.1,0000 0001 2285 5681,,2657913
Haute école pédagogique - BEJUNE,HEP-BEJUNE,UTE,Chemin de la Ciblerie,45,2503,Porrentruy,47.1364,7.2467,Pädagogische Hochschule BEJUNE,Haute École Pédagogique BEJUNE,Alta scuola pedagogica BEJUNE,https://ror.org/015pmkr43,,No,No,No,grid.469449.2,0000 0001 0658 3479,,2659171
